date,n,mean_act,rms_act,std_act,skewness_act,kurtosis_act,shape_factor_act,crest_factor_act,impulse_factor_act,peak_activity,variance_act,autocorrelation_act,Label
2003-11-19,1440,285.79791666666665,515.7084575556663,429.4214963627168,1.883544214875304,3.735522180847948,3.2560449396848705,4.711964607905819,2430,2430,184402.82153839475,0.7916248141600405,control
2003-11-20,1440,357.68055555555554,601.6555562224397,483.9593774092181,1.8030962745986443,3.5523396905286173,2.829470697124416,4.868233941675944,2929,2929,234216.678982318,0.772980722811677,control
2003-11-21,1440,245.26944444444445,459.7000003021294,388.9370642243016,1.9239589866876692,4.118165325491899,3.512870283800403,5.625407871003696,2586,2586,151272.03992741852,0.8415304624580268,control
2003-11-22,1440,122.99444444444444,318.141759545437,293.5070180937684,3.275540645568261,11.684838528847097,6.690681663809331,6.141916115607985,1954,1954,86146.36967029568,0.7876979377689904,control
2003-11-23,1440,130.36944444444444,289.6798927743825,258.7754847985029,3.1771687805366,13.0408867811525,4.937249476636921,6.959406055739476,2016,2016,66964.7515327002,0.7174238521699753,control
2003-11-24,1440,379.60625,635.4505056563327,509.7812375679769,1.949253238294246,5.86922243160878,2.80218465685159,6.680299979642791,4245,4245,259876.9101763381,0.8114569465160631,control
2003-11-25,1440,363.7361111111111,636.3548363749409,522.334171391602,1.90390719101916,4.237138163637688,3.0607359166617885,6.079941219650575,3869,3869,272832.9866033515,0.8227947358762793,control
2003-11-26,1440,322.4847222222222,534.1645072759264,425.982792593488,1.779012504544516,3.8442046501121023,2.7436693157156173,6.016872997403748,3214,3214,181461.33958574652,0.7629804510728208,control
2003-11-27,1440,289.2861111111111,508.8259375486103,418.7351715999401,2.099611343809397,5.493600532726856,3.093736466228873,5.243443392162206,2668,2668,175339.14393483126,0.7394200146596737,control
2003-11-28,1440,328.3645833333333,538.3714208662599,426.7868064677583,1.7184030399827703,3.385388472845442,2.688136867578208,4.803375327462644,2586,2586,182146.97817494773,0.7529303884323367,control
2003-11-29,1440,326.2548611111111,577.1278280078956,476.22661597282206,2.6238059347871685,9.94392184594908,3.12917641895534,6.703887444406976,3869,3869,226791.7897609257,0.8208580091153278,control
2003-11-30,1440,385.95625,648.279959778181,521.050109194591,1.8004354370344418,3.7155152052563354,2.8212984926202487,5.272413481930741,3418,3418,271493.21629169513,0.7848557461399446,control
2003-12-01,1440,298.7,512.6885804809344,416.8315598300188,1.4852904573916252,1.9814201877642672,2.9460278162804983,4.889908017159803,2507,2507,173748.5492703265,0.8025557647047531,control
2003-12-02,1440,229.65625,467.2069870517777,407.0078796140548,2.658122230538272,11.635358199524624,4.138682587724688,9.085908639310553,4245,4245,165655.4140679289,0.7808807651933817,control
2003-11-26,1440,187.78819444444449,378.0255622235677,328.1976857273996,2.776807045282054,10.170799882506916,4.052338944970607,7.279930975600117,2752,2752,107713.72091682092,0.7201238139109449,control
2003-11-27,1440,163.85208333333333,322.1239334048655,277.4342705792395,2.5195204992573834,7.437641276033465,3.864933730350467,5.879724551914937,1894,1894,76969.7744918347,0.7197650085066473,control
2003-11-28,1440,241.35,469.7598529508928,403.1592366771943,2.680186731056486,9.718711475075173,3.788411877897902,7.987059720900036,3752,3752,162537.37011813791,0.7480788524129888,control
2003-11-29,1440,181.7513888888889,380.5553945660649,334.4645363231107,2.899110087025505,12.302655605669145,4.384098354916673,8.981609638978934,3418,3418,111866.5260578334,0.7618776627640916,control
2003-11-30,1440,166.81944444444446,322.8511912114723,276.5090594199716,1.9712469469035705,3.656981874225884,3.745514176736986,4.565570888770574,1474,1474,76457.2599413174,0.8384859907258926,control
2003-12-01,1440,161.00069444444443,326.7790059811064,284.4635112420369,2.531655631867192,7.002313948774085,4.119578625996662,5.447106354509553,1780,1780,80919.48922814844,0.6867590445271053,control
2003-12-02,1440,225.52013888888888,492.6748300800889,438.1808875483142,3.5298020688039697,16.821838107984064,4.772545640388938,7.85304984906791,3869,3869,192002.4902126284,0.8180636351025299,control
2003-12-03,1440,189.47847222222225,346.6015032906426,290.32575618861307,2.3613421589650674,6.806942300031804,3.346117100130437,6.001128039701018,2080,2080,84289.04470648999,0.6738954546165028,control
2003-12-04,1440,302.24097222222224,517.101527345775,419.7221965718433,1.6845227688698077,2.517390360610368,2.927149917451153,4.699270590966771,2430,2430,176166.72229509306,0.8026025792980148,control
2003-12-05,1440,282.75,477.8199030201884,385.31467605457743,1.7241265330789337,2.9314088068844413,2.855770114595079,4.633544952828087,2214,2214,148467.39958304394,0.7689238858708315,control
2003-12-06,1440,146.8513888888889,312.35946617816967,275.7823821516293,2.9139678822047617,10.374104822564608,4.524319090746614,7.542591965681421,2356,2356,76055.92230522734,0.7249014722814794,control
2003-12-07,1440,104.77361111111112,304.0082464159301,285.48222641068526,10.502014534361765,208.97349143549647,8.419123952573635,22.20992384121786,6752,6752,81500.10159640177,0.5201278504547302,control
2003-12-08,1440,194.33680555555557,346.8288452777056,287.3687556121727,2.265831634245642,5.95106853603412,3.1850796744158183,5.812665317343458,2016,2016,82580.80170208866,0.6622402625929215,control
2003-12-09,1440,104.79097222222222,226.64640687643825,201.03609680515356,2.647877353312152,8.118808553485199,4.677889270619007,6.106428154206394,1384,1384,40415.51221865106,0.7366683480961822,control
2003-12-10,1440,0.0458333333333333,0.963932916061417,0.963177146441598,24.42175365927356,653.6523775719327,442.31404958677695,30.085081147028976,29,29,0.92771021542738,-0.0022675382842293,control
2003-12-11,1440,0.0020833333333333,0.0790569415042094,0.0790569415042094,37.94733192202053,1440.0000000000005,1440.0,37.94733192202055,3,3,0.0062499999999999,-0.0006954102920723,control
2003-11-26,1440,161.20347222222222,301.6565801720743,255.05942484715743,1.9128411342415543,3.3653998317586105,3.501682957046762,4.634409099256304,1398,1398,65055.31020336274,0.763317198267356,control
2003-11-27,1440,212.30555555555557,357.03368577457474,287.1526866167908,1.381740220318007,1.083111002428355,2.8281059073944634,3.9155969190052127,1398,1398,82456.66543124086,0.7893974091950946,control
2003-11-28,1440,177.25625,319.0484517801855,265.369628856082,1.7793128422821878,3.100592244316533,3.239740078743188,4.811181472391433,1535,1535,70421.0399192147,0.8325638558833126,control
2003-11-29,1440,197.67638888888888,325.1015973678246,258.18866457783395,1.686804719924054,3.6609373036517,2.704759214642754,6.441063399731065,2094,2094,66661.38651648525,0.7592902811030499,control
2003-11-30,1440,149.98611111111111,264.77706555599644,218.2753928675781,1.728345779481998,2.6060401505501574,3.116439066935929,4.112893983900175,1089,1089,47644.14713149555,0.8017154000603377,control
2003-12-01,1440,141.6784722222222,249.45709801486908,205.39072432919605,1.7418931438294278,2.7521385168708177,3.1001592368220736,4.6460894848176135,1159,1159,42185.34964047181,0.7433124968699762,control
2003-12-02,1440,121.83680555555556,230.86663568437564,196.168090778506,2.2759449477519533,6.55913650468445,3.5905860648033108,6.648860262764613,1535,1535,38481.919839684175,0.7377098629091466,control
2003-12-03,1440,174.5090277777778,292.2797615774616,234.5469275241244,1.5452510280620542,2.019389493384522,2.8051861812180894,4.2219823683308935,1234,1234,55012.26121100685,0.7492565517821207,control
2003-12-04,1440,106.55833333333334,196.0121559439051,164.5748942896145,2.1680759885749583,5.392949206432493,3.383694712866427,5.729236508787654,1123,1123,27084.89583043779,0.7509805428008494,control
2003-12-05,1440,130.3625,272.23854174438844,239.079769218016,2.1523972264669853,4.3192969814392494,4.361078043349925,5.2968253163577765,1442,1442,57159.13604933977,0.8493647179616811,control
2003-12-06,1440,163.90833333333333,330.1895751769816,286.7338635008251,1.9182670511823527,3.105906158202175,4.0581177695704005,4.794215562836931,1583,1583,82216.30847810982,0.8583421068338237,control
2003-12-07,1440,80.35416666666667,209.4917858373768,193.53559714624075,3.2872228318071923,12.114600984721854,6.796998826803358,6.468034030946934,1355,1355,37456.02736275199,0.7909471389175246,control
2003-12-08,1440,142.48194444444445,257.19359061912013,214.19453584842304,1.885817371161141,3.370427086535752,3.2583716358605126,5.105103890183762,1313,1313,45879.29918732139,0.7431484820234594,control
2003-12-09,1440,120.40486111111112,253.96104113951543,223.68197381703004,3.397985436183784,19.173026331888348,4.448833532792918,10.560674928587266,2682,2682,50033.62541068251,0.6768841260017953,control
2003-12-10,1440,1.2194444444444446,1.6832508230603465,1.1606998546459324,3.077116057700617,40.591544773396095,1.9053450324562449,10.099504938362076,17,17,1.3472241525750888,0.659374326533206,control
2003-12-11,1440,3.553472222222222,9.242827549571132,8.535413805944014,28.99846382431089,899.4890182581303,6.765561567737838,30.942912054360512,286,286,72.85328883869967,0.0406409505016405,control
2003-12-12,1440,6.106944444444444,39.03550734053976,38.56823894456818,13.861633049557373,219.5477763990008,40.8574932905698,17.93239149918836,700,700,1487.5090552853055,0.4585365675708253,control
2003-12-13,1440,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,,control
2003-12-14,1440,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,,control
2003-12-15,1440,1.354861111111111,1.653489575950746,0.9481579274211837,-0.5882651311691524,-0.6253337301733248,1.489406922707303,4.23347089804001,7,7,0.8990034553316344,0.3818380932172752,control
2003-12-16,1440,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2,2,0.0,,control
2003-12-17,1440,1.9986111111111111,1.999305434950404,0.0527046276694729,-37.94733192202053,1439.999999999999,1.0006949270326615,1.000347403171849,2,2,0.0027777777777777,-0.0006954102920723,control
2003-12-18,1440,16.221527777777776,76.10743959108801,74.38445261794253,6.268296107225368,48.97133433704018,22.0125681801024,13.00792675879122,990,990,5533.046791270936,0.6685419276835228,control
2003-11-26,1440,263.68541666666664,433.6687780181757,344.41397438206945,2.504413343109556,10.3783754538211,2.7048556282697533,7.332785206563156,3180,3180,118620.9857496528,0.7461398270018207,control
2003-11-27,1440,197.04930555555555,383.4165172425993,329.0212363051263,2.6726657057555783,9.225094970278455,3.786097716603975,7.107153389210433,2725,2725,108254.97393975378,0.7790485264467912,control
2003-11-28,1440,205.36527777777775,367.039329560804,304.31444714425743,2.3405987460083426,6.71738394164761,3.194266685053913,5.7950193036401565,2127,2127,92607.28274071505,0.7287001426669248,control
2003-11-29,1440,157.5861111111111,304.07879781033364,260.1490556357527,2.5294293515994872,8.731864151176818,3.723371779652036,7.215235050253281,2194,2194,67677.53114817395,0.8083540307164405,control
2003-11-30,1440,131.5673611111111,270.4304323666255,236.35025049183997,2.602477038648033,8.127197792049014,4.224884075269986,6.330648459264462,1712,1712,55861.44090755549,0.6847841634715767,control
2003-12-01,1440,274.89166666666665,456.4869004448844,364.5643407038821,2.350967009214524,8.283380917068339,2.757614092612194,6.753753496530482,3083,3083,132907.15851285623,0.7864436425334264,control
2003-12-02,1440,134.60972222222222,263.2940477024796,226.3615719760528,2.806573896877819,10.386026473596637,3.825861341656556,7.140305739552407,1880,1880,51239.561267469726,0.7155318134281691,control
2003-12-03,1440,165.0236111111111,305.97194633568034,257.7443950387401,2.646911254908888,9.211269741583749,3.437724313169002,6.536546974165434,2000,2000,66432.17317388613,0.7320364016343285,control
2003-12-04,1440,176.21597222222223,342.1375423958421,293.3697274174735,1.9525429870242368,3.257787237944898,3.769735872381664,5.1616668186527015,1766,1766,86065.7969650027,0.8152924875704942,control
2003-12-05,1440,294.34375,479.2750145619249,378.3724581098831,1.911256841263926,4.955243903923623,2.6513065269381486,5.685670892923034,2725,2725,143165.71705611525,0.753639124633386,control
